id,study_area,study_area_type,country,continent,lat_mean,lon_mean,area,variable,surface,process,imerg_type,imerg_vers,record_start,record_end,record_length,temporal_scale,grid_scale,comparison_scale,comparison_method,downscale,grided,gauge_eval,radar_eval,model_eval,satellite_eval,ref_type,timeseries_eval,categ_eval,best_perform,worst_perform,limitations,reference,year,journal,link
ANJ18,Northern highlands of Pakistan,Single region,Pakistan,Asia,35,74,,Rain,Land,,IMERG_F,IMERG_V04,4/14/2020,12/16/2020,33,"daily,monthly,seasonal,annual",0.25,,grid-grid,I,,"daily,monthly,seasonal,annual",,,3B42V7 and 3B42RT,gs,"COR,RMSE,Bias,RB","POD,FAR,CSI","monthly,annual.Winter season, followed by autumn, summer, and spring.","daily, light precipitation events, mountainous regions","limited daily and monthly scale, interpolation","Anjum et.al.,2018",2018,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809517311018
CHE18,Huaihe River Basin,Single region,China,Asia,33.5,117,"2,70,000",Rain,Land,impact of elevation,IMERG_F,IMERG_V05,1/15/2020,12/17/2020,36,"daily,monthly,annual","0.25,0.1","basin,grid",point-grid,F,,"daily,monthly,annual",,,3B42 v7,gs,"COR,RRMSE,RB","POD,FAR,CSI","monthly,annual","daily, underestimate light and heavy rainrates","no subdaily evaluation, grid-point comparison","Chen et.al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/6/944
ROZ18,Brazil,Multiple regions,Brazil,South America,-14.23,-51.92,"85,15,759",Rain,Land,,IMERG_F,IMERG_V06,4/14/2020,2/17/2020,35,daily,0.25,"national,regional",point-grid,I,,daily,,,"TMPA_V7,GsMaP_gauge",gs,"RMSE,ME","POD,FAR,CSI,Bias,ETS","IMERG,GsMap better than TMPA",over estmation(except eastern coast of northeastern Brazil),,"Rozante et.al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/6/882
SU18B,Eastern China,Multiple regions,China,Asia,32,115,"1,00,000",Rain,Land,,IMERG_F,IMERG_V04,3/16/2020,7/16/2020,0.06,daily,,"grid,regional",,,,daily,,ERA-Interim,G_CMORPH,gsm,"COR,RMSE,RB","POD,FAR,CSI",capturingthe main features of these heavy rain events,overestimate the rain intensity,short time period record,"Sui et al.,2018",2018,IEEE Geoscience and Remote Sensing Letters,https://ieeexplore.ieee.org/document/8272384
GEB18,CONUS,National,USA,North America,36,-92.5,"76,63,942",Rain,Land,,IMERG_L,IMERG_V03,4/14/2020,12/14/2020,9,"3h,seasonal",0.25,,grid-grid,I,,,"3h,seasonal",,TMPA_RT,rs,"COR,RMSE,Pbias,d","TB,HB,MB,FB",iss-rain is substantially reduced and the hit rate is improved for requency and area coverage.,false preci-pitation  in terms of frequency of occurrence andarea coverage,"spatial and temporal aggregation, short period, limited to CONUS ","Gebregiorgis et al.,2018",2018,Journal of Geophysical Research: Atmospheres,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017JD027606
TIA18B,China,Multiple regions,China,Asia,33,110,"4,20,800",Rain,Land,,,,4/14/2020,10/15/2020,14,"1h,daily",0.1,regional,point-grid,F,,"1h,daily",,,,g,"Bias,Abias,ME,MAE","POD,FOH",dense rain gauge network tends to provide better evaluation metrics,"overestimate (underestimate) light (heavy) rainfall events,","short period, limited to two warm seasons","Tian et al.,2018",2018,Journal of Hydrometeorology,https://journals.ametsoc.org/doi/pdf/10.1175/JHM-D-17-0161.1
WEI18,"Tibetan Plateau, Huaihe River Basin, Weihe River Basin.",Multiple regions,China,Asia,33,104,"29,04,800",Rain,Land,,IMERG_F,"IMERG_V03,IMERG_V04",6/14/2020,11/15/2020,18,"daily,seasonal",0.25,,point-grid,I,,"daily,seasonal",,,"TMPA,CMORPH_CRT",gs,"COR,RMSE,RRMSE,RBias",,captures the spatial patterns of precipitation,"underestimate the total precipitation in winter, Tibetan Plateau",,"Wei et al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/1/30
ZHA18B,China,Multiple regions,China,Asia,35.5,104,"96,00,000",Rain,Land,,IMERG_F,"IMERG_V03,IMERG_V04",3/14/2020,2/15/2020,12,"daily,seasonal,annual",0.25,"national,regional",grid-grid,I,0.25,,,,GSMaP_V06,gs,"COR,RMSE,RB,FSE","POD,FAR,FBI,TE,PSS",,IMERG_V04 doesn't show significant improvement over IMERG_V3,,"Zhao et al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/1/34
MOH18,Saudi Arabia,Multiple regions,Saudi Arabia,Asia,23.8,45.07,"20,00,000",Rain,Land,,"IMERG_E,IMERG_L,IMERG_F",,10/15/2020,4/16/2020,7,daily,0.1,"national,regional",point-grid,F,,daily,,,,g,"COR,RMSE,RB,MAE","POD,CSI",consistent in detecting precipitation events,high variability in the terrestrial topography regions,,"Mahmoud et al.,2018",2018,Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S002216941830091X
KHA19,"Atlantic, Pacific Ocean",Multiple regions,,Global,,,,Rain,Ocean,,"IMERG_E,IMERG_L,IMERG_F",IMERG_V05,3/14/2020,2/17/2020,36,daily,"0.5,1,2,3",,grid-grid,I,,daily,daily,,3DPRD,gsr,"COR,RMSE,SD","POD,CSI,SR,HB",Rain events detected by all IMERG products ~80% of the time,IR estimates,"OceanRAIN provides very limited spatio-temporal measurements, Only a few years overlap with the GPM mission.","Khan et al., 2019 ",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/3/255/htm
HUA19,Southern China,National,China,Asia,35,113,2400000,Rain,Land,Extreme,IMERG_F,IMERG_V05,,,,1h,0.1,national,grid-grid,I,,1h,,,,g,"COR,RMSE,RBias","POD,FAR,CSI,HB,MB,FB",temporal variation of the area-average hourly precip,"light precip (<0.6 mm/h), light to moderate precip (0.6–6 mm/h).",Too short evaluation period (shorter than one year),"Huang et al., 2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/1/70
FAN19,China,National,China,Asia,22.9,105,3146000,Rain,Land,Extreme,IMERG_F,IMERG_V05,4/14/2020,12/17/2020,45,annual,0.1,regional,point-grid,F,,annual,,,TRMM_3B42V7,gs,"COR,RMSE,RBias,RE","POD,FAR,CSI","south and east China, spatial pattern, volume of extreme precip","arid west China, high-altitude, orog. precip, convective ",grid data and rain gauge measurement with nearest grid-to-point.,"Fang et al., 2019",2019,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809518311499
ZHA19,Ganjiang River,Single region,China,Asia,26.5,114.5,83500,Rain,Land,Hydrological_eva,"IMERG_E,IMERG_L",,5/14/2020,10/15/2020,18,"daily,monthly",0.25,basin,grid-grid,I,,"daily,monthly",,,"TMPA_3B42,v3B42RTV6,3B423B42RTV7,3B423B42V6and3B423B42V7",gs,"COR,RMSE,RBias","POD,FAR,CSI,NSCE",spatial pattern of precip. Better than 3B42V7 at daily scale.,"east, central regions.",resampling of IMERG to 0.25,"Zhang. et. al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/4/431/htm
ZHA19B,Guangdong,Single region,China,Asia,22.85,113.35,493801,Rain,Land,Extreme,IMERG_F,IMERG_V05,5/17/2020,5/17/2020,0.03,"1h,daily",0.1,national,grid-grid,I,,1h,"hourly,daily",,"GSMaP_MVK,GSMaP_Gauge",gsr,"COR,RMSE,RBias,FSE","POD,FAR,CSI","spatial patterns, hourly","storm-accumulated precip, warm-sector extreme precip",based only on an extreme precipitation over Guangdong,"Zhang. et. al.,2019",2019,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809518307063?via%3Dihub
YUA19,Chindwin River Basin,Single region,Myanmar,Asia,24.5,95.5,150000,Rain,Land,Hydrological_perfom,"IMERG_E,IMERG_L,IMERG_F",IMERG_V05,4/14/2020,12/16/2020,33,"3h,12h",0.25,basin,grid-grid,I,,"3h,12h",,,"GSMaP-NRT,GSMaP_MVK,GSMaP_Gauge,TMPA_3B42RT,3B42V7",gs,"COR,RMSE,RBias","POD,FAR,CSI,NSE","In case post-real-time SPP, IMERG-F V05B, demonstrates better than 3B42V7",in the case of near-real-time SPPs IMERG has still behind that of 3B42RT.,"involves large uncertainties from precipitation input, parameter calibration, and hydrological model structure","Yuan. et. al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/2/140
YAN19,Tianshan Mountains,Single region,China,Asia,42.5,85,800000,Rain,Land,,"IMERG_E,IMERG_F",IMERG_V05,5/14/2020,10/17/2020,42,"daily,monthly,seasonal,annual",0.1,national,point-grid,F,,"daily,monthly,seasonal,annual",,,"TRMM_3B42V7,3B42RT",gs,"COR,RMSE,Bias,RBias","POD,FAR,CSI","IMERG-F in cpaturing light precip, occurance of daily precip.","IMERG-E, IMERG-F in detection of moderate to heavy precip.",Coarse temporal and spatial resolution,"Yang. et. al.,2019",2019,Water,https://www.mdpi.com/2073-4441/11/6/1139
XU19,Huang-Huai-Hai Plain,Single region,China,Asia,36,116.5,300000,Rain,Land,Dirunal cycle,IMERG_F,IMERG_V05,1/15/2020,12/17/2020,36,"daily,monthly,seasonal,annual",0.1,national,point-grid,F,,"daily,monthly,seasonal,annual",,,TRMM_3B42V7,gs,"COR,RMSE,RBias","POD,FAR,CSI,ACC",precip detection capability slightly improves compared to 3B42V7. ,"winter, daily scale.",Coarse temporal and spatial resolution,"Xu. et. al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/6/697
WAN19,Hexi Region,Single region,China,Asia,39.9,98.7,317200,Rain,Land,,IMERG_F,IMERG_V05,4/14/2020,9/17/2020,42,"daily,monthly,seasonal,annual",0.1,basin,point-grid,F,,"daily,monthly,seasonal,annual",,,TRMM_3B42V7,gs,"COR,RMSE,RRMSE,Rbias","POD,FAR,CSI","moderate, heavy rain events, warm seasons","desert and oasis area, mount. reg.","sample size, the period ana-lyzed, and the characteristics of the Hexi region,","Wang. et. al.,2019",2019,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809518311761?via%3Dihub
WAN19B,Tibetan Plateau,Single region,China,Asia,30,91.5,32588,Rain,Land,,IMERG_F,IMERG_V05,4/14/2020,10/17/2020,12,daily,0.1,regional,point-grid,F,,"daily,monthly,seasonal,annual",,,TRMM_3B42V7,gs,"COR,RMSE,MBE,Bias","POD,FAR,FBI,ETS","monthly scale, grid cell","daily scale, trace (0.1~1 mm/day), torrential precip (>50 mm/day).","only described elevation and slope affect on the accuracy of SPP, but the effect of topographic features are quite complex.","Wang. et. al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/18/2080
WAN19C,Guangdong Province,Multiple regions,China,Asia,24.6,113.4,38672,Rain,Land,,IMERG_F,"IMERG_V03,IMERG_V04,IMERG_V05",5/14/2020,12/16/2020,32,"1h,3h,daily,monthly,annual","0.1,0.25",regional,point-grid,F,,"1h,3h,daily,monthly,annual",,,"TRMM_3B42V8,CMPA",gs,"COR,RMSD,Bias,RBias","POD,FAR,CSI",IMERGV05 in detecting the light rain and heavy rain.,"IMERGV05 in hourly/half-hour accumulation, mount. reg, coastal areas.",different density/distribution of available rain gauges,"Wang. et. al.,2019",2019,International Journal of Climatology,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/joc.5839
SUN19,"Japan, Nepal, Philipines",Multiple nations,"Japan, Nepal, Philipines",Asia,,,,Rain,Land,,IMERG_F,IMERG_V05,3/14/2020,12/15/2020,22,"daily,monthly,seasonal,annual",0.1,regional,grid-grid,I,0.1,"daily,monthly,annual",,,,g,"COR,RMSE,Bias","POD,FAR,FBIAS,ETS","seasonal variation, monthly mean precip statistics","heavy rainfall events, southeastern part of NPL",coarser temporal resoulution (no sub daily comparision),"Sunil. et. al.,2019",2019,Earth and Space Science,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018EA000503
SU19,Upper Huaihe River Basin,Single region,China,Asia,32.1,59.345,16000,Rain,Land,Hydrological_eval,"IMERG_E,IMERG_L,IMERG_F",IMERG_V06,4/14/2020,12/15/2020,21,daily,0.1,basin,grid-grid,I,,daily,,,,g,"COR,RMSE,RBias","POD,FAR,CSI",IMERG-F,IMERG-E - light precip,very short duration,"Su. et. al.,2019",2019,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809519300249?via%3Dihub
SIN19,Various regions,Multiple regions,India,Asia,21,81.5,7792400,Rain,Land,Evaluated HE product,IMERG_E,,6/16/2020,9/16/2020,4,,0.1,regional,grid-grid,I,0.25,,,,"INSAT-3D,IMSRA,NMSG(merged_IMD_GPM),HE",gs,"COR,RMSE,PBias,D,NSE",,coastal and plain region,hilly region.,"study focused on the evaluation HE product. High temporal, spatial resolution","Singh. et. al.,2019",2019,Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S0022169419301738?via%3Dihub
SAL19,Brazilian Central Plateau,Single region,Brazil,South America,-15.8,-47.9,8712,Rain,Land,,IMERG_F,IMERG_V05,3/14/2020,11/16/2020,33,"daily,monthly,annual","0.1,0.25",regional,grid-grid,I,,"daily,monthly,annual",,,"GSMaP_V7,TMPA_3B42V7",gs,"COR,RMSE,Bias","POD,FAR,CSI","annual, monthly, wet season","daily precip amount, dry period.",coarser temporal resoulution (no sub daily comparision),"Salles. et. al.,2019",2019,Water,https://www.mdpi.com/2073-4441/11/4/668
SAD19,Western United States,National,USA,North America,39.69,-119.49,12357,Snow,Land,IMERG_FUncal,IMERG_F,IMERG_V04,10/16/2020,2/17/2020,5,daily,0.1,,point-grid,F,,daily,daily,,,gr,"COR,RMSE,Bias,RBias,MBias,MAE","POD,FAR,CSI","moderate snowfall condition, snowfall detection",snow accumulation (SA),did not deal with snow drift issue. imited sample size,"Sadeghi. et. al.,2019",2019,International Journal of Remote Sensing,https://www.tandfonline.com/doi/full/10.1080/01431161.2018.1562259?scroll=top&needAccess=true
NAV19,Europe,Multiple regions,,Europe,48,10,32200000,Rain,Land,,IMERG_F,IMERG_V06,6/14/2020,12/18/2020,55,"monthly,seasonal,annual",0.1,"national,regional",grid-grid,F,0.1,"monthly,seasonal,annual",,,,g,"COD,PDF,D",,"precip climatology, seasonal cycles","mount. reg, coastal areas with complex orography",some regions have scarcity of rain gauge stations,"Navarro. et. al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/21/2470
MAH19,United Arab Emirates,Multiple nations,UAE,Asia,24.325,53.95,83600,Rain,Land,,"IMERG_E,IMERG_L,IMERG_F",IMERG_V03,1/15/2020,12/17/2020,36,daily,0.1,regional,point-grid,F,,daily,,,,g,"COR,RMSE,RBias,MAE","POD,CSI","northern, middle, western parts of the UAE",eastern and northeastern parts of the UAE,ground rain records could not be obtained to cover the entire duration for which IMERG,"Mahmoud. et. al.,2019",2019,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809518311670?via%3Dihub
LIA19,Nanliu River Basin,Single region,China,Asia,21.8,110.15,8600,Rain,Land,Hydrological_eval,"IMERG_E,IMERG_F",IMERG_V05,3/14/2020,12/16/2020,34,"daily,monthly",0.1,basin,grid-grid,I,,"daily,monthly",,,,g,"COR,RMSE,RBias,PDF","POD,FAR,CSI","Spring, precip patterns.","Autumn,  precip rates from 5 mm/day - 30 mm/day.",did not considered subdaily evaluation,"Liang. et. al.,2019",2019,Water,https://www.mdpi.com/2073-4441/11/5/932
LI19,Mun-chi River Basin,Single region,Thailand,Asia,16,104,120000,Rain,Land,Hydrological_eval,IMERG_F,"IMERG_V03,IMERG_V04,IMERG_V05",3/14/2020,1/16/2020,23,"1h,daily,monthly",0.1,basin,grid-grid,I,,"daily,monthly",,,TRMM_3B42V7,gs,"COR,RMSE,SD",,"NE -Thailand, IMERG V5 daily product",high bias,limited evaluation indices,"Li. et. al.,2019",2019,Water,https://www.mdpi.com/2073-4441/11/4/818/htm
LEE19,East Asia,Multiple nations,,Asia,35,107.5,22500000,Rain,"Land,Ocean",,IMERG_F,IMERG_V03,6/14/2020,5/15/2020,12,daily,0.5,national,grid-grid,I,0.5,daily,,,"TMPA_3B42V7,CMORPH",gs,Bias,"POD,FAR,CSI,SR","daily precip for all seasons, seasonal variations.",winter,short period,"Lee. et. al.,2019",2019,Theoretical and Applied Climatology,https://link.springer.com/article/10.1007%2Fs00704-018-2749-1
JIA19,Various regions,Multiple regions,China,Asia,35.5,104,"96,00,000",Rain,Land,Hydrological_perfom,"IMERG_E,IMERG_F",IMERG_V05,1/16/2020,12/17/2020,24,daily,0.1,"national,regional",point-grid,F,,daily,,,TRMM_3B42V7,gs,"COR,RMSE,RE,MAE","POD,FAR,CSI",humid areas,"high elevation, tropical and arid zones.",short period,"Jiang. et. al.,2019",2019,Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S0022169419302422?via%3Dihub
GAD19,Brazilian,National,Brazil,South America,-14.25,-54.3,8500000,Rain,Land,,IMERG_F,IMERG_V05,1/16/2020,12/16/2020,12,"daily,monthly,annual",0.1,"national,regional",grid-grid,I,,"daily,monthly,annual",,,,g,"COR,RMSE,ME","POD,FAR,CSI",spatial patterns of rainfall,coastal region,low density of rain gauges used ,"Gadelha. et. al.,2019",2019,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S016980951831072X?via%3Dihub
DER19,Multiple Complex Terrains,Multiple regions,,Global,,,,Rain,Land,,"IMERG_E,IMERG_F","IMERG_V05,IMERG_V06",,,22,"daily,monthly",0.1,,grid-grid,I,,"daily,monthly",,,"GSMaPV07,CMORPH,MSWEPV2.2",gs,"MRE,CRMSE","PDF,NMRV","IMERGV05B  in lighter,  heavier precip",IMERGV06B-Late in mean annual precip,evaluations of SPPs over these regions are not fully independent to the gauges used in the gauge adjustment of the SPPs,"Derin. et. al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/24/2936
CHE19,Lancang River Basin,Single region,China,Asia,29.675,96.755,87205,Rain,Land,Hydrological_perfom,"IMERG_E,IMERG_L",,3/14/2020,11/17/2020,45,"daily,monthly",0.25,basin,grid-grid,I,0.25,"daily,monthly",,,TMPA_3B42V7,gs,"COR,RMSE,Bias,NMSE,CRMSE","POD,CSI,FOH,HSS","detectability, accuracy in gorge areas",winter,interpolation of IMERG resolotion from 0.1 to 0.25,"Chen. et. al.,2019",2019,Hydrology Research,https://iwaponline.com/hr/article/50/6/1710/70200/Accuracy-evaluation-of-GPM-multisatellite
BEA19,French Guiana,National,French Guiana,South America,4,-53.5,80000 ,Rain,Land,,IMERG_E,,4/15/2020,3/16/2020,12,"daily,monthly",0.1,,point-grid,F,,"daily,monthly",,,"TMPA_3B42V7,HE",gs,"COD,RMSE,Bias,NSE","POD,FAR",dry season (August–October),"rainy season, daily performance, low - high intensity precip.",GPM has no common period for comparision in longer duration with the other datasets,"Beafort. et. al.,2019",2019,International Journal of Remote Sensing,https://www.tandfonline.com/doi/full/10.1080/01431161.2018.1511934
ANJ19,Tianshan Mountains,Single region,China,Asia,42.5,85,800000,Rain,Land,,IMERG_F,"IMERG_V05,IMERG_V06",6/14/2020,12/17/2020,43,"daily,monthly",0.1,"national,regional",point-grid,F,,"daily,monthly",,,TRMM_3B42V7,gs,"COR,RMSE,Bias,RBias","POD,FAR,CSI,FBI","large spatial domains,spatiotemporal variability of daily precip ","small-scale regions,  western parts, light precip events.",limited to only the Chinese part of these mountains.,"Anjum. et. al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/19/2314
XU19B,China,Single region,China,Asia,35.5,104,"96,00,000",Rain,Land,,IMERG_F,IMERG_V06,6/18/2020,8/18/2020,3,"1h,daily,monthly",0.1,national,grid-grid,F,,"1h,daily,monthly",,,"FY-2G,FY-2G",gs,"COR,RMSE,Bias,MAE","POD,FAR,CSI,SR",monthly,"hourly and daily,  06:00 to 10:00 UTC (diurnal scale)","very short duration, single season (summer2018)","Xu. et. al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/24/2992
SU19B,China,Multiple regions,China,Asia,35.5,104,"96,00,000",Rain,Land,,"IMERG_E,IMERG_L,IMERG_F",IMERG_V05,4/14/2020,3/18/2020,48,daily,0.1,"national,basin",point-grid,F,,,,,"TMPA-RT,TMPA-V7",s,"COR,RMSD,RBias","POD,FAR",,,,"Su. et. al.,2019",2019,Earth and Space Science,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019EA000977
SHA19,Al-Jabal Al-Akhdar chain,single region,Oman,Asia,22.5,57.5,"3,09,814",Rain,Land,,"IMERG_E,IMERG_L,IMERG_F",IMERG_V04,3/14/2020,12/16/2020,34,"6h,12h,18h,daily",0.1,national,point-grid,F,,"6h,12h,18h,daily",,,GSMaPV06,gs,"RMSE,MAD,MD,UB","POD,FAR,CSI,FBI",delineate the spatial and temporal patterns of rainfall,"underestimated the in-situ rainfall measurements, intensity greater than 50 mm",limited to particular location,"Shawky. et. al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/23/2840
MAG19,Iran,Single region,Iran,Asia,32.5,54,"16,48,000",Rain,Land,,"IMERG_E,IMERG_L,IMERG_F",,4/14/2020,12/17/2020,45,"daily,monthly,seasonal",0.1,national,point-grid,F,,"daily,monthly,seasonal",,,,g,"COR,Rbias,MAE","POD,FAR","spring, drier area(POD)","summer, coastal area(POD)",sparse distribution of gauge in central regions,"Maghsood et al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/12/1/48/htm
WU19B,Yangtze River Basin,Single region,China,Asia,30,106,"18,00,000",Rain,Land,,IMERG_F,IMERG_V05,4/14/2020,12/17/2020,45,"daily,monthly,annual",0.1,basin,point-grid,I,,"daily,monthly,annual",,,TRMM_3B42V7,gs,"COR,RMSE,RBias,MAE","POD,FAR,f-BIAS","detecting light precipitatio, annual and monthly","high precipitation events, high altitude, daily",resampling and scale mismatch issues,"Wu et al.,2019",2019,Water,https://www.mdpi.com/2073-4441/11/7/1459
ASL19,Ardabil province,Single region,Iran,Asia,38.4,47.8,"18,00,000",Rain,Land,,IMERG_F,IMERG_V06,1/16/2020,10/17/2020,22,"daily,seasonal,annual",0.1,,point-grid,F,,"daily,seasonal,annual",,,GSMaPV07,gs,"COR,RMSE,RBias,Mult_Bias,MAE","POD,FAR,CSI",summer(POD),other season,very small duration,"Aslami et al.,2019",2019,International Journal of Remote Sensing,https://www.tandfonline.com/doi/abs/10.1080/01431161.2018.1539274
XU19C,China,Single region,China,Asia,35.5,104,"96,00,000",Rain,Land,,IMERG_F,"IMERG_V04,IMERG_V05",5/15/2020,9/15/2020,5,"1h,daily",0.1,national,grid-grid,F,0.1,"1h,daily",,,GSMaPV08,gs,"COD,RMSE,Rbias","POD,FAR,CSI,HSS",daily,hourly,very small duration,"Xu et al.,2019",2019,Advances in Space Research,https://www.sciencedirect.com/science/article/pii/S0273117719300225
LI19B,Mun-chi River Basin,Single region,Thailand,Asia,16,104,"1,20,000",Rain,Land,Hydrological_perfom,IMERG_F,"IMERG_V03,IMERG_V04,IMERG_V05",4/14/2020,1/16/2020,22,"1h,daily,monthly",0.1,basin,point-grid,F,,"1h,daily,monthly",,WMO,TRMM_V7,gs,"COD,RMSE,SD",NSE,"northeastern Thailand, downstream",upstream,limited statistical matrices,"Li et al.,2019",2019,Water,https://www.mdpi.com/2073-4441/11/4/818
MAZ19,Global,Global,,Global,,,,Rain,Land,Extreme,"IMERG_E,IMERG_L",IMERG_V04,3/14/2020,4/17/2020,38,1h to 168h,0.1,national,point-grid,F,,1h to 168h,,,,g,"Bias,MAE","POD,FAR,CSI",aggregation interval is equal to or greater than 12 h,<12h,biased rain gauge distributio,"Mazzoglio et al.,2019",2019,Remote Sensing,https://www.mdpi.com/2072-4292/11/6/677
PAL19,Bio-geographic Chocó,Multiple regions,Colombia,South America,-4,-78,,Rain,Land,,,,4/14/2020,12/17/2020,45,daily,0.1,"grid,regional",point-grid,F,0.1,daily,,,TRMM_3B42V7,gs,"COR,RMSE,MD,RMD","POD,FAR,CSI","regional scale, spatial and temporal distribution of mean daily precipitation","grid scale, high precipitation amount(>5000?mm/yr)",need a detailed and long-term analysis,"Angel et al.,2019",2019,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809518309517
